train/loss,step,train/total_time
7.8055005,0,
4.3754973,50,
6.498223,100,
3.5049367,150,
7.3348446,200,
6.296712,250,
4.583049,300,
4.5435686,350,
5.929015,400,
10.283581,450,
5.754219,500,
5.804593,550,
4.3141785,600,
2.3808343,650,
4.9665494,700,
10.053503,750,
5.021578,800,
3.7136788,850,
6.4868226,900,
7.2743454,950,
6.135165,1000,
8.170627,1050,
4.6253786,1100,
6.6418962,1150,
4.10506,1200,
5.1663957,1250,
4.9681406,1300,
2.9642653,1350,
7.759228,1400,
6.0627317,1450,
6.546095,1500,
6.781982,1550,
7.7270555,1600,
6.1164217,1650,
3.1767657,1700,
4.961825,1750,
5.218007,1800,
12.590392,1850,
6.9483767,1900,
7.168425,1950,
,1999,0
