train/loss,step,train/total_time
4.605093,0,
1.6275952,50,
3.540609,100,
2.2882276,150,
2.4468236,200,
2.8919096,250,
3.4180565,300,
1.8424798,350,
2.8377018,400,
2.7310503,450,
2.3094685,500,
2.4845717,550,
2.4643672,600,
2.2465749,650,
2.322174,700,
2.799326,750,
10.36189,800,
1.379143,850,
2.528432,900,
3.2248342,950,
2.1156163,1000,
3.0973816,1050,
1.8883502,1100,
4.1060696,1150,
1.7971654,1200,
2.0701227,1250,
3.157064,1300,
1.5619724,1350,
2.2429872,1400,
2.5205579,1450,
3.3291616,1500,
3.085093,1550,
2.4804869,1600,
4.134684,1650,
1.7791559,1700,
2.2472389,1750,
2.3105083,1800,
2.9328759,1850,
2.4058602,1900,
2.8507562,1950,
,1999,0
