train/loss,step,train/total_time
2.067349,0,
1.896753,50,
1.8946882,100,
1.839761,150,
2.139793,200,
2.9384413,250,
2.4942513,300,
2.2014518,350,
2.0794654,400,
1.7721666,450,
1.998925,500,
1.548315,550,
2.1052537,600,
1.9678197,650,
1.8967266,700,
1.4049708,750,
1.6328459,800,
1.7094471,850,
1.62865,900,
2.1966257,950,
1.7616568,1000,
2.150475,1050,
1.5398343,1100,
1.0567265,1150,
1.6260616,1200,
1.7937708,1250,
2.2247767,1300,
2.0200095,1350,
1.8244863,1400,
1.5267785,1450,
2.037197,1500,
1.9077055,1550,
1.6163507,1600,
2.0492482,1650,
1.8165269,1700,
1.9175758,1750,
1.5399956,1800,
2.451736,1850,
1.6362307,1900,
1.40767,1950,
,1999,0
