train/loss,train/teacher_norm,train/relative_loss,step,train/time_per_it,val/logp,val/nfe,val/time_per_it,train/total_time
1.9354007,2.2317276,0.8672208,490050,,,,,
2.0446877,2.3308759,0.8772186,490100,,,,,
2.3657105,2.6164765,0.9041589,490150,,,,,
2.2106571,2.4181795,0.91418236,490200,,,,,
2.6056685,2.8625815,0.91025126,490250,,,,,
2.661747,2.840038,0.93722224,490300,,,,,
2.5135212,2.8579698,0.87947786,490350,,,,,
2.3054137,2.5485632,0.90459347,490400,,,,,
1.965786,2.2699556,0.86600196,490450,,,,,
2.0067225,2.338516,0.85811794,490500,,,,,
2.1319568,2.3625782,0.9023858,490550,,,,,
2.1051135,2.4491692,0.85952145,490600,,,,,
2.024377,2.3084383,0.87694657,490650,,,,,
2.1211705,2.3892198,0.88780886,490700,,,,,
2.5455523,2.798225,0.90970254,490750,,,,,
2.384233,2.6818404,0.8890286,490800,,,,,
2.2315915,2.4770818,0.9008954,490850,,,,,
2.1342454,2.3109426,0.92353886,490900,,,,,
2.3417387,2.6037936,0.8993565,490950,,,,,
2.1599565,2.4625506,0.8771216,491000,,,,,
2.6091318,2.9697175,0.8785792,491050,,,,,
1.9285572,2.2070065,0.87383395,491100,,,,,
2.2701735,2.6424646,0.8591122,491150,,,,,
2.0528224,2.3173714,0.8858409,491200,,,,,
2.2072265,2.4380212,0.90533525,491250,,,,,
2.1238658,2.3993156,0.8851965,491300,,,,,
2.2855759,2.5788975,0.88626087,491350,,,,,
2.200528,2.4899635,0.8837591,491400,,,,,
2.055347,2.3278537,0.8829365,491450,,,,,
2.1965673,2.4671357,0.890331,491500,,,,,
2.9912739,3.2337022,0.92503077,491550,,,,,
1.9162406,2.2375107,0.8564163,491600,,,,,
2.2938561,2.541988,0.9023867,491650,,,,,
1.9790654,2.217785,0.89236134,491700,,,,,
2.3556528,2.5738056,0.9152411,491750,,,,,
2.0658693,2.348608,0.87961435,491800,,,,,
2.5031142,2.7865875,0.8982722,491850,,,,,
1.8508644,2.153204,0.85958624,491900,,,,,
2.237431,2.5746267,0.86903125,491950,,,,,
2.1831841,2.4597268,0.8875718,492000,,,,,
2.0385084,2.2803435,0.89394796,492050,,,,,
2.0511734,2.264844,0.9056577,492100,,,,,
2.2288847,2.496212,0.89290684,492150,,,,,
2.4129086,2.7663636,0.8722311,492200,,,,,
2.34087,2.5718734,0.91018087,492250,,,,,
1.9929246,2.2958984,0.86803687,492300,,,,,
1.9988881,2.3991947,0.8331496,492350,,,,,
2.1604362,2.403867,0.8987336,492400,,,,,
2.5248926,2.7740097,0.910196,492450,,,,,
2.3769574,2.5963392,0.9155034,492500,,,,,
2.202644,2.4292789,0.906707,492550,,,,,
2.5099254,2.8108182,0.89295185,492600,,,,,
2.0917087,2.3585224,0.8868725,492650,,,,,
2.3877702,2.5920427,0.9211924,492700,,,,,
2.2124515,2.4204543,0.9140645,492750,,,,,
