train/loss,train/teacher_norm,train/relative_loss,step,train/total_time
2.45762,2.7608871,0.89015585,590050,
2.1734977,2.4649897,0.8817472,590100,
2.672418,2.9299104,0.912116,590150,
2.415133,2.6378686,0.9155622,590200,
2.662958,2.9251823,0.9103562,590250,
3.1466725,3.330534,0.94479513,590300,
2.7931857,3.1275098,0.89310217,590350,
2.533918,2.8006053,0.90477514,590400,
2.1830883,2.4745464,0.8822175,590450,
2.3512926,2.6840467,0.8760252,590500,
2.3449416,2.560072,0.9159671,590550,
2.3399591,2.6751227,0.874711,590600,
2.4000397,2.698451,0.88941383,590650,
2.3104746,2.5937033,0.8908015,590700,
2.9289777,3.1594791,0.9270445,590750,
2.9012184,3.1888828,0.90979147,590800,
2.3959703,2.6242027,0.9130279,590850,
2.6061938,2.761413,0.94378984,590900,
2.674982,2.9242873,0.91474664,590950,
2.3339171,2.6306336,0.8872072,591000,
2.8338919,3.2051392,0.88417125,591050,
2.2023683,2.482024,0.88732755,591100,
2.4626894,2.8113546,0.8759796,591150,
2.3530097,2.6266413,0.89582455,591200,
2.7654629,3.0144534,0.91740113,591250,
2.3402019,2.616891,0.89426804,591300,
2.4892888,2.7892108,0.89247066,591350,
2.195761,2.4832911,0.88421404,591400,
2.3722727,2.6371694,0.89955264,591450,
2.510107,2.7807603,0.9026693,591500,
3.0828903,3.3388984,0.9233256,591550,
2.117012,2.4377263,0.8684371,591600,
2.2894006,2.526962,0.9059893,591650,
2.237361,2.4868164,0.89968884,591700,
2.692756,2.8970826,0.9294716,591750,
2.1384459,2.4114213,0.886799,591800,
2.717278,3.00206,0.90513784,591850,
2.1539702,2.4635878,0.87432253,591900,
2.3868964,2.7262564,0.87552166,591950,
2.6099179,2.8973265,0.9008022,592000,
2.2759054,2.5345006,0.8979699,592050,
2.9251242,3.149884,0.9286451,592100,
2.3736267,2.6273017,0.90344656,592150,
2.3933353,2.7329688,0.8757273,592200,
2.6258042,2.834116,0.92649853,592250,
2.2120476,2.4960968,0.88620263,592300,
2.363281,2.7428114,0.8616273,592350,
2.461809,2.7039235,0.9104581,592400,
3.2533052,3.4952397,0.93078166,592450,
2.3526022,2.570114,0.9153689,592500,
2.3070035,2.5730295,0.89660984,592550,
2.3159413,2.6149905,0.8856405,592600,
2.3852987,2.659809,0.89679325,592650,
2.3416488,2.5491896,0.9185856,592700,
2.4270465,2.648604,0.91634935,592750,
2.5729704,2.7680488,0.9295249,592800,
2.6660638,2.9019303,0.9187208,592850,
3.1754482,3.441867,0.92259467,592900,
2.4548311,2.7455075,0.8941266,592950,
2.374695,2.6796303,0.8862025,593000,
2.4227767,2.6900709,0.90063673,593050,
2.3815866,2.7049716,0.88044786,593100,
2.1698215,2.4300318,0.89291894,593150,
2.546332,2.814775,0.9046307,593200,
2.1763585,2.4907799,0.8737659,593250,
2.3058782,2.5242345,0.913496,593300,
2.2360935,2.4944599,0.89642394,593350,
2.0181866,2.29427,0.8796639,593400,
2.1525075,2.3915038,0.9000644,593450,
3.2225807,3.5169034,0.91631204,593500,
2.4317248,2.6217427,0.9275223,593550,
2.411529,2.6569407,0.9076338,593600,
2.3932683,2.649836,0.903176,593650,
2.7212853,2.9641895,0.9180538,593700,
2.2182894,2.5082362,0.8844021,593750,
2.7484527,2.9310913,0.93768924,593800,
2.6277454,2.91957,0.9000454,593850,
2.5028567,2.7926924,0.8962164,593900,
2.3411736,2.5516691,0.9175068,593950,
2.4387283,2.730334,0.8931978,594000,
2.4561365,2.717248,0.90390587,594050,
2.5263314,2.7810245,0.9084175,594100,
2.4191496,2.6839075,0.9013536,594150,
2.5339427,2.808599,0.90220875,594200,
2.2404513,2.481528,0.9028515,594250,
2.3206806,2.612157,0.88841546,594300,
2.1448855,2.384379,0.89955735,594350,
2.8117566,3.0878422,0.9105895,594400,
2.0708113,2.3619533,0.87673676,594450,
2.2567582,2.5224314,0.89467573,594500,
2.1742425,2.4235473,0.8971323,594550,
2.2468383,2.5457857,0.8825717,594600,
2.5010428,2.7810442,0.89931786,594650,
2.0482967,2.4058933,0.85136634,594700,
2.4447346,2.7348099,0.8939322,594750,
2.4229436,2.7033339,0.8962798,594800,
2.3075774,2.568835,0.8982972,594850,
2.3022854,2.5899093,0.88894445,594900,
2.7956738,3.054132,0.9153743,594950,
2.5876522,2.8885245,0.89583874,595000,
2.3031192,2.565353,0.8977787,595050,
2.2353172,2.4855032,0.89934194,595100,
2.784881,3.0737891,0.90600914,595150,
2.4801629,2.7848,0.8906072,595200,
2.7872324,3.0959957,0.9002701,595250,
2.2541575,2.556394,0.8817723,595300,
2.1198864,2.445678,0.86678886,595350,
2.655375,2.8671536,0.92613626,595400,
2.4728427,2.7288117,0.9061976,595450,
2.7173786,3.0438864,0.8927332,595500,
2.4278316,2.7771792,0.8742078,595550,
2.2604122,2.5501547,0.8863824,595600,
2.4615333,2.8134892,0.8749041,595650,
2.5804887,2.8478727,0.90611094,595700,
2.437752,2.6903925,0.9060953,595750,
2.2334328,2.5829005,0.8646995,595800,
3.1966472,3.5303297,0.9054812,595850,
2.2723513,2.5781047,0.8814038,595900,
2.81424,3.034779,0.9273294,595950,
2.7649379,3.0571342,0.9044215,596000,
2.7098296,2.8769865,0.9418986,596050,
2.11054,2.3480048,0.8988652,596100,
3.4665616,3.6880283,0.93994987,596150,
2.1277723,2.4433093,0.87085676,596200,
2.5588336,2.8330483,0.9032086,596250,
2.2677178,2.5623672,0.88500893,596300,
2.7144232,2.967731,0.9146459,596350,
2.3266158,2.589448,0.8984988,596400,
2.3872344,2.6488814,0.9012236,596450,
2.0593624,2.4002862,0.85796535,596500,
2.0630713,2.2773385,0.9059133,596550,
2.1656964,2.4392078,0.88786876,596600,
