train/loss,train/teacher_norm,train/relative_loss,step,train/time_per_it,val/logp,val/nfe,val/time_per_it,train/total_time
2.5861387,2.5317576,1.0214796,0,,,,,
2.695968,2.8152986,0.95761347,50,,,,,
2.5748537,2.6260707,0.9804967,100,,,,,
2.5972672,2.67657,0.97037154,150,,,,,
2.5618994,2.6116068,0.9809668,200,,,,,
2.540277,2.6330707,0.96475834,250,,,,,
3.3690596,3.477944,0.96869284,300,,,,,
2.8734398,2.9578679,0.9714564,350,,,,,
2.7672858,2.9099498,0.95097375,400,,,,,
2.781241,2.8544018,0.9743691,450,,,,,
2.6944957,2.784213,0.96777636,500,,,,,
2.5791678,2.6713068,0.9655079,550,,,,,
2.5288746,2.5913272,0.9758994,600,,,,,
2.728441,2.84134,0.9602655,650,,,,,
2.4685383,2.552218,0.967213,700,,,,,
3.8817143,4.0041757,0.96941656,750,,,,,
2.6991155,2.834241,0.952324,800,,,,,
2.5207822,2.6465485,0.9524791,850,,,,,
2.8061872,2.9044616,0.9661643,900,,,,,
2.323243,2.5149746,0.92376393,950,,,,,
2.5038655,2.6581976,0.941941,1000,,,,,
2.2066586,2.4191055,0.9121795,1050,,,,,
2.5202918,2.6080544,0.9663494,1100,,,,,
2.4508,2.6591692,0.92164123,1150,,,,,
2.6926568,2.905253,0.9268235,1200,,,,,
2.3459291,2.5050082,0.9364956,1250,,,,,
2.4151282,2.6165037,0.92303646,1300,,,,,
3.0578141,3.2309277,0.94641984,1350,,,,,
2.4380004,2.6513398,0.9195352,1400,,,,,
2.836453,3.0287383,0.93651307,1450,,,,,
2.5556388,2.7288957,0.93651026,1500,,,,,
4.29398,4.513749,0.95131123,1550,,,,,
2.2686672,2.4829764,0.9136886,1600,,,,,
2.5969062,2.7783597,0.9346905,1650,,,,,
2.132124,2.2929444,0.92986286,1700,,,,,
2.5903754,2.8084102,0.92236364,1750,,,,,
2.6247063,2.803337,0.9362792,1800,,,,,
2.3682141,2.5330374,0.93493056,1850,,,,,
2.5091534,2.7966204,0.89720917,1900,,,,,
2.3968778,2.5916004,0.92486393,1950,,,,,
2.5780232,2.696284,0.9561393,2000,,,,,
2.7584581,2.901558,0.95068175,2050,,,,,
2.2655375,2.4226103,0.9351638,2100,,,,,
2.3753357,2.6056473,0.9116106,2150,,,,,
2.8097239,3.00724,0.9343198,2200,,,,,
2.4373555,2.6589997,0.9166438,2250,,,,,
2.4909992,2.7167544,0.91690266,2300,,,,,
2.2914345,2.4426894,0.9380786,2350,,,,,
2.4734077,2.6965086,0.91726303,2400,,,,,
2.4832551,2.676324,0.9278605,2450,,,,,
2.511653,2.762403,0.90922755,2500,,,,,
2.599128,2.8454778,0.9134241,2550,,,,,
2.9157057,3.14233,0.92788017,2600,,,,,
2.192204,2.4012113,0.9129576,2650,,,,,
2.4436815,2.7028942,0.9040981,2700,,,,,
2.192257,2.414217,0.90806127,2750,,,,,
2.2799993,2.4454968,0.9323256,2800,,,,,
2.3816466,2.6417308,0.90154785,2850,,,,,
2.5536053,2.746412,0.9297969,2900,,,,,
2.4018226,2.6238952,0.9153653,2950,,,,,
2.4387956,2.662632,0.91593415,3000,,,,,
2.2987406,2.5593326,0.8981797,3050,,,,,
2.6125793,2.8646708,0.9119999,3100,,,,,
3.8105226,4.020001,0.94789094,3150,,,,,
2.5063896,2.7525337,0.91057545,3200,,,,,
2.4228969,2.6430674,0.9166989,3250,,,,,
3.0949216,3.347,0.92468536,3300,,,,,
2.1660802,2.4187026,0.8955546,3350,,,,,
2.3317795,2.491078,0.93605244,3400,,,,,
2.3393893,2.4989045,0.936166,3450,,,,,
2.5389848,2.792948,0.90906984,3500,,,,,
2.767871,3.045594,0.90881157,3550,,,,,
2.478743,2.7475734,0.9021572,3600,,,,,
2.3215609,2.5679667,0.9040463,3650,,,,,
2.3500447,2.5278952,0.9296448,3700,,,,,
2.2756453,2.4432666,0.9313945,3750,,,,,
2.778925,3.012012,0.92261416,3800,,,,,
2.6619258,2.875134,0.9258441,3850,,,,,
2.8043044,3.04054,0.92230475,3900,,,,,
2.4865818,2.709063,0.9178752,3950,,,,,
2.1547415,2.3201294,0.9287161,4000,,,,,
2.2761369,2.4773092,0.91879404,4050,,,,,
1.9183191,2.1311274,0.90014285,4100,,,,,
