train/loss,train/teacher_norm,train/relative_loss,step,train/time_per_it,val/logp,val/nfe,val/time_per_it,train/total_time
1.8051409,1.744325,1.034865,0,,,,,
1.8400679,1.9493518,0.9439384,50,,,,,
1.7767923,1.8204699,0.9760075,100,,,,,
1.7839406,1.8528194,0.9628249,150,,,,,
1.7511854,1.7980545,0.9739335,200,,,,,
1.7450132,1.8227959,0.95732784,250,,,,,
2.2960362,2.3835888,0.96326864,300,,,,,
1.9831926,2.0475273,0.9685793,350,,,,,
1.907612,2.028973,0.9401859,400,,,,,
1.9059403,1.9641349,0.97037137,450,,,,,
1.8533168,1.9135278,0.96853405,500,,,,,
1.7792218,1.853246,0.9600571,550,,,,,
1.7325187,1.7735119,0.9768859,600,,,,,
1.8582743,1.9444442,0.9556841,650,,,,,
1.7040186,1.7594287,0.96850675,700,,,,,
2.6032581,2.7023816,0.96331996,750,,,,,
1.8709434,1.9576528,0.9557075,800,,,,,
1.7442901,1.829944,0.9531931,850,,,,,
1.9507424,2.0011258,0.9748224,900,,,,,
1.5978698,1.7304497,0.92338413,950,,,,,
1.7032095,1.8215404,0.93503803,1000,,,,,
1.5237577,1.6833091,0.9052157,1050,,,,,
1.7674953,1.8180962,0.97216827,1100,,,,,
1.684928,1.8362342,0.9175998,1150,,,,,
1.861758,2.025235,0.91928,1200,,,,,
1.6355579,1.7394311,0.9402832,1250,,,,,
1.6331022,1.7921493,0.91125345,1300,,,,,
2.0935793,2.221138,0.94257057,1350,,,,,
1.6870896,1.8483948,0.91273224,1400,,,,,
1.9354954,2.0835176,0.9289557,1450,,,,,
1.7520506,1.8921893,0.9259383,1500,,,,,
2.9797912,3.14443,0.94764113,1550,,,,,
1.5707204,1.7390065,0.90322864,1600,,,,,
1.7536895,1.9008358,0.92258865,1650,,,,,
1.4646698,1.5943803,0.91864526,1700,,,,,
1.778753,1.9379836,0.91783696,1750,,,,,
1.7914928,1.931905,0.9273193,1800,,,,,
