bin_index,time_lower,time_upper,time_center,count,marginal_numerator,marginal_denominator,marginal_ratio,marginal_sigma_weighted_numerator,marginal_sigma_weighted_denominator,marginal_sigma_weighted_ratio,transition_numerator,transition_denominator,transition_ratio,transition_sigma_weighted_numerator,transition_sigma_weighted_denominator,transition_sigma_weighted_ratio
0,0.001,0.1009,0.05095,387,14463.780268490636,11527.290065717461,1.254742457769311,1.6659072451381827,1.9646976851561493,0.8479203946975571,10388.479077135657,11527.290065717461,0.9012073972201256,0.3575317517281581,1.9646976851561493,0.18197799723063368
1,0.1009,0.2008,0.15085,408,30.556296669321426,44.26941997608437,0.6902348546451812,1.434200510161532,2.082045918451726,0.6888419177323567,6.606937277500911,44.26941997608437,0.14924381840958686,0.34604116527973616,2.082045918451726,0.16620246486928514
2,0.2008,0.3007,0.25075000000000003,409,12.342318786001714,14.542500638867399,0.8487067722402309,1.7622172711986703,2.0581668187952293,0.8562072065995756,5.391465621244743,14.542500638867399,0.37073855119027566,0.7860852197854534,2.0581668187952293,0.38193464630153284
3,0.3007,0.4006,0.35065,391,7.4231519158635395,7.870051919674041,0.9432151124536466,1.9549651261595884,2.0801301052468895,0.9398282885431687,4.69896301435098,7.870051919674041,0.5970688702362349,1.2663503956811604,2.0801301052468895,0.6087842228710092
4,0.4006,0.5005,0.45055,408,5.386911185966703,5.480006389125947,0.983011842253671,2.1571665531022353,2.1800621260243975,0.9894977383700104,5.336896378656721,5.480006389125947,0.9738850632561211,2.139202726813773,2.1800621260243975,0.9812576859459904
5,0.5005,0.6004,0.55045,409,5.604423312543543,5.552820870061584,1.0092930122538701,2.9859417462422377,2.953233322593268,1.0110754586466244,6.449370308399104,5.552820870061584,1.1614583736271313,3.4336249509601893,2.953233322593268,1.1626663267900623
6,0.6004,0.7003,0.65035,447,4.869428652359124,4.794745484127493,1.0155760422160263,3.1954158058503395,3.1436559997584155,1.0164648409149262,6.563342499636395,4.794745484127493,1.3688614980033964,4.2916058056065065,3.1436559997584155,1.3651639340578834
7,0.7003,0.8002,0.7502500000000001,417,5.905599928878398,5.705058036805324,1.0351515936258302,4.465410654003937,4.310965714868695,1.0358260628805964,8.267781122000024,5.705058036805324,1.4492019282134656,6.249211606735701,4.310965714868695,1.449608279343497
8,0.8002,0.9001,0.85015,398,7.091620163953295,6.8707809558221795,1.0321417898823513,5.937402927748959,5.755800395798868,1.0315512194910599,10.330519505100934,6.8707809558221795,1.5035437101675604,8.629823285532748,5.755800395798868,1.499326362470518
9,0.9001,1.0,0.9500500000000001,422,8.467465535429248,8.041844627557818,1.0529257797251705,7.6032907319696035,7.221752292650504,1.052831835450666,12.319553047764376,8.041844627557818,1.531931242519705,11.056637516218874,7.221752292650504,1.531018657640875
