scope,bin_index,time_lower,time_upper,time_center,count,heat_oracle_numerator,heat_oracle_denominator,heat_oracle_ratio,heat_oracle_sigma_weighted_numerator,heat_oracle_sigma_weighted_denominator,heat_oracle_sigma_weighted_ratio
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,141.21289576878502,1099.4398652034688,0.12844076355314527,2.3864271689707293,3.394420550610312,0.7030440472413511
time_bin,0,0.001,0.1009,0.05095,387,1456.1393242149268,11527.290065717461,0.12632104474791256,0.020587171437078826,1.9646976851561493,0.010478544097565407
time_bin,1,0.1009,0.2008,0.15085,408,1.5157653812859286,44.26941997608437,0.0342395581817515,0.08630497380314359,2.082045918451726,0.041452002870716036
time_bin,2,0.2008,0.3007,0.25075000000000003,409,1.6715344878761091,14.542500638867399,0.11494133837334859,0.24948765629428007,2.0581668187952293,0.12121838366247523
time_bin,3,0.3007,0.4006,0.35065,391,2.349914016108359,7.870051919674041,0.2985893914178641,0.6314026510193635,2.0801301052468895,0.30353997876927175
time_bin,4,0.4006,0.5005,0.45055,408,2.5969899534433325,5.480006389125947,0.47390272278834356,1.0409363430917222,2.1800621260243975,0.4774801258600791
time_bin,5,0.5005,0.6004,0.55045,409,3.6909706039057504,5.552820870061584,0.6647019026237373,1.9680876372430485,2.953233322593268,0.6664179276057568
time_bin,6,0.6004,0.7003,0.65035,447,3.965052527682431,4.794745484127493,0.8269578713904101,2.6068813624963156,3.1436559997584155,0.8292514684825997
time_bin,7,0.7003,0.8002,0.7502500000000001,417,5.472214206684083,5.705058036805324,0.9591864205042353,4.1367628082754715,4.310965714868695,0.9595907442296981
time_bin,8,0.8002,0.9001,0.85015,398,6.706831677413017,6.8707809558221795,0.976138187314556,5.621429955549849,5.755800395798868,0.9766547759172394
time_bin,9,0.9001,1.0,0.9500500000000001,422,7.9820062717738205,8.041844627557818,0.9925591243699815,7.169246629061494,7.221752292650504,0.9927295105967924
