bin_index,time_lower,time_upper,time_center,count,marginal_numerator,marginal_denominator,marginal_ratio,marginal_sigma_weighted_numerator,marginal_sigma_weighted_denominator,marginal_sigma_weighted_ratio,transition_numerator,transition_denominator,transition_ratio,transition_sigma_weighted_numerator,transition_sigma_weighted_denominator,transition_sigma_weighted_ratio
0,0.001,0.1009,0.05095,387,13167.818603938942,11527.290065717461,1.1423169304196692,1.6567366104581942,1.9646976851561493,0.8432526869364098,10376.871635657702,11527.290065717461,0.9002004440323624,0.23392312630921733,1.9646976851561493,0.11906316523195479
1,0.1009,0.2008,0.15085,408,31.41246248597837,44.26941997608437,0.7095747469890626,1.4710338861684593,2.082045918451726,0.7065328704167279,3.8823504470097703,44.26941997608437,0.08769824515952877,0.19645720550376788,2.082045918451726,0.0943577674340064
2,0.2008,0.3007,0.25075000000000003,409,11.69394426203495,14.542500638867399,0.8041219694183545,1.6633566919602893,2.0581668187952293,0.808173889836692,3.015519906970697,14.542500638867399,0.2073591041720567,0.44535834030817467,2.0581668187952293,0.21638592852498265
3,0.3007,0.4006,0.35065,391,6.789464928797822,7.870051919674041,0.8626963315449211,1.7878765889184773,2.0801301052468895,0.8595022858492077,3.422988780351323,7.870051919674041,0.43493852530311006,0.9148269675650417,2.0801301052468895,0.43979314604387687
4,0.4006,0.5005,0.45055,408,5.142201062330587,5.480006389125947,0.9383567623480806,2.0604437675347316,2.1800621260243975,0.9451307526913869,3.710511424942331,5.480006389125947,0.6770998343239439,1.4860181281323785,2.1800621260243975,0.6816402631726403
5,0.5005,0.6004,0.55045,409,5.31218802624277,5.552820870061584,0.9566647549027106,2.8306289868713304,2.953233322593268,0.9584847074666202,5.180493752252771,5.552820870061584,0.9329481112661636,2.765566238251404,2.953233322593268,0.9364536854332904
6,0.6004,0.7003,0.65035,447,4.680062886319735,4.794745484127493,0.9760816068447807,3.070769499714578,3.1436559997584155,0.976814731059128,5.712920771368149,4.794745484127493,1.1914961447620567,3.7624986144949015,3.1436559997584155,1.1968544277158502
7,0.7003,0.8002,0.7502500000000001,417,5.686616908577168,5.705058036805324,0.99676758096467,4.298102454480916,4.310965714868695,0.9970161510880092,7.9112214512877586,5.705058036805324,1.386703060053495,5.99288360351243,4.310965714868695,1.3901487476324028
8,0.8002,0.9001,0.85015,398,6.823153550555255,6.8707809558221795,0.9930681220222504,5.715922777567337,5.755800395798868,0.9930717492928776,9.19634974064684,6.8707809558221795,1.3384722619441523,7.705507155374827,5.755800395798868,1.3387377275298955
9,0.9001,1.0,0.9500500000000001,422,8.06974697509201,8.041844627557818,1.0034696439426196,7.246805575697912,7.221752292650504,1.0034691404519942,11.03804432142617,8.041844627557818,1.372576171128102,9.902695913266669,7.221752292650504,1.3712317313392504
