bin_index,time_lower,time_upper,time_center,count,marginal_numerator,marginal_denominator,marginal_ratio,marginal_sigma_weighted_numerator,marginal_sigma_weighted_denominator,marginal_sigma_weighted_ratio,transition_numerator,transition_denominator,transition_ratio,transition_sigma_weighted_numerator,transition_sigma_weighted_denominator,transition_sigma_weighted_ratio
0,0.001,0.0509,0.02595,387,27432.083092682285,20140.633649356987,1.3620268145607457,1.8038893445128985,1.9777379973775127,0.9120972230820714,15328.072604128374,20140.633649356987,0.7610521531237986,0.31688304752256824,1.9777379973775127,0.16022498750618452
1,0.0509,0.1008,0.07585,408,129.34065954013664,174.62795797298386,0.7406641011786891,1.5526572929133642,2.126465127651625,0.7301588281047725,8.327028654963353,174.62795797298386,0.0476843957356173,0.11464113762432274,2.126465127651625,0.053911599863295856
2,0.1008,0.1507,0.12575,409,40.94397195600587,54.712629070693566,0.7483459055791153,1.5246588928826184,2.0494778256296198,0.7439255338002854,4.857642554114913,54.712629070693566,0.0887846670089745,0.19095602670466186,2.0494778256296198,0.09317301382085856
3,0.1507,0.2006,0.17565,391,21.14685014832142,28.091498587746088,0.7527846930180553,1.5254045117639914,2.0635631504622562,0.7392090249480358,4.141277498723205,28.091498587746088,0.14742102434704138,0.3072356651488663,2.0635631504622562,0.1488860002133605
4,0.2006,0.2505,0.22555,408,13.92700871100129,16.434811870146426,0.8474090736520926,1.6659179980305892,1.9460811841230612,0.8560372522284618,3.839304181517797,16.434811870146426,0.23360803941758235,0.45370591377995356,1.9460811841230612,0.23313822421700217
5,0.2505,0.3004,0.27545,409,9.862661971452962,11.383176117286144,0.8664244373599368,1.6836134808635839,1.964134066497481,0.8571784894979614,4.0133405868130705,11.383176117286144,0.3525677317065187,0.6998481486188168,1.964134066497481,0.3563138367146569
6,0.3004,0.3503,0.32535000000000003,447,8.985435665592899,9.102363252111939,0.9871541496255434,2.095701077165673,2.1217155047293343,0.9877389605802172,4.093064980344667,9.102363252111939,0.4496705814172252,0.9540434875642261,2.1217155047293343,0.4496566485662583
7,0.3503,0.4002,0.37525,417,6.404176664067241,6.533315490097869,0.9802337976745967,1.89836510778235,1.9336865532449514,0.9817336190187267,4.407031052104564,6.533315490097869,0.6745474104286785,1.3072867768624947,1.9336865532449514,0.6760592961191783
8,0.4002,0.4501,0.42515000000000003,398,6.118423531376684,6.421701368473165,0.9527729756925276,2.2185458037778094,2.3270981024346504,0.95335292995306,5.472698610443874,6.421701368473165,0.8522194178616684,1.991560548739984,2.3270981024346504,0.8558128847676211
9,0.4501,0.5,0.47505,422,4.810514677028882,4.720511935781329,1.0190663072737243,2.0619742701482253,2.0227692539592876,1.0193818478891652,5.222888884896137,4.720511935781329,1.1064242490825125,2.261546185026596,2.0227692539592876,1.1180445665858774
