train/loss,train/teacher_norm,train/relative_loss,step,train/time_per_it,val/logp,val/nfe,val/time_per_it,train/total_time
2.2283652,2.1717005,1.0260923,0,,,,,
2.2253766,2.3441415,0.9493354,50,,,,,
2.1790428,2.2298846,0.9771998,100,,,,,
2.2108927,2.28965,0.9656029,150,,,,,
2.1344287,2.184832,0.9769304,200,,,,,
2.0831404,2.170631,0.9596935,250,,,,,
2.6868634,2.7998126,0.9596583,300,,,,,
2.355162,2.441683,0.964565,350,,,,,
2.297893,2.4414258,0.9412095,400,,,,,
2.317561,2.3883839,0.97034687,450,,,,,
2.2643704,2.3641443,0.95779705,500,,,,,
2.1251998,2.2218766,0.95648867,550,,,,,
2.1177092,2.179536,0.97163296,600,,,,,
2.1561656,2.28062,0.9454295,650,,,,,
2.0765963,2.1674128,0.9580991,700,,,,,
2.9391613,3.0679328,0.95802665,750,,,,,
2.2033272,2.342741,0.9404912,800,,,,,
2.0968711,2.2299528,0.94032085,850,,,,,
2.2614367,2.3760543,0.95176136,900,,,,,
1.9039497,2.1155925,0.8999606,950,,,,,
2.0402677,2.2014608,0.92677903,1000,,,,,
1.8587947,2.0856566,0.89122754,1050,,,,,
2.0766807,2.1915698,0.9475768,1100,,,,,
2.0222409,2.234498,0.90500903,1150,,,,,
2.1734943,2.3928354,0.9083343,1200,,,,,
1.9522111,2.1218088,0.92006934,1250,,,,,
1.977808,2.204291,0.8972536,1300,,,,,
2.4499745,2.6386259,0.92850393,1350,,,,,
2.0509925,2.2609315,0.9071449,1400,,,,,
2.3062892,2.511691,0.91822165,1450,,,,,
2.098219,2.2800226,0.92026234,1500,,,,,
3.3259702,3.5609434,0.93401384,1550,,,,,
1.9294424,2.1621861,0.89235723,1600,,,,,
2.172511,2.3667493,0.91793036,1650,,,,,
1.7983851,1.9604666,0.9173251,1700,,,,,
2.0820894,2.3057103,0.90301436,1750,,,,,
2.207868,2.405374,0.9178897,1800,,,,,
1.9687293,2.1526098,0.91457784,1850,,,,,
2.150876,2.4433336,0.88030386,1900,,,,,
2.011627,2.212524,0.9092001,1950,,,,,
2.084792,2.2047539,0.9455894,2000,,,,,
2.207429,2.3528113,0.93820906,2050,,,,,
1.8786691,2.046546,0.9179706,2100,,,,,
1.9131033,2.1545925,0.8879189,2150,,,,,
2.2781434,2.492082,0.9141526,2200,,,,,
2.01175,2.251539,0.8934999,2250,,,,,
2.082333,2.3017054,0.90469146,2300,,,,,
1.963078,2.1191373,0.92635715,2350,,,,,
2.0714653,2.2990708,0.9010011,2400,,,,,
2.0806966,2.2754874,0.91439605,2450,,,,,
2.011806,2.2850828,0.88040835,2500,,,,,
2.1753116,2.440485,0.891344,2550,,,,,
2.3272238,2.5626445,0.9081337,2600,,,,,
1.7947595,2.0114288,0.8922809,2650,,,,,
1.9830661,2.2494078,0.8815947,2700,,,,,
1.8556347,2.079824,0.89220756,2750,,,,,
1.9280384,2.1019068,0.9172806,2800,,,,,
1.9559287,2.2282681,0.8777797,2850,,,,,
2.122157,2.3277204,0.911689,2900,,,,,
1.8945479,2.1239407,0.8919966,2950,,,,,
1.9993718,2.2338085,0.8950507,3000,,,,,
1.9233437,2.1856675,0.87997997,3050,,,,,
2.1702986,2.431282,0.892656,3100,,,,,
2.8960595,3.1272593,0.9260695,3150,,,,,
2.0162873,2.2493799,0.89637476,3200,,,,,
1.9940082,2.223577,0.896757,3250,,,,,
2.4991975,2.7499921,0.90880173,3300,,,,,
1.8004965,2.065092,0.87187225,3350,,,,,
1.9660571,2.131464,0.9223975,3400,,,,,
1.9488646,2.1239583,0.91756254,3450,,,,,
2.0604618,2.3315754,0.8837209,3500,,,,,
2.1993837,2.4951768,0.88145405,3550,,,,,
2.069159,2.3606293,0.87652856,3600,,,,,
1.941084,2.1936126,0.88488007,3650,,,,,
