train/loss,train/teacher_norm,train/relative_loss,step,train/total_time
4.6040783,4.5195756,1.018697,0,
1.6279244,1.6874647,0.96471614,50,
3.5414267,3.7508366,0.9441698,100,
2.288772,2.3039346,0.9934189,150,
2.4467764,2.4279814,1.007741,200,
2.8918653,3.084803,0.93745536,250,
3.417605,3.0988293,1.1028697,300,
1.842493,1.9840628,0.9286465,350,
2.8383737,2.8166122,1.0077261,400,
2.7304745,2.7151678,1.0056374,450,
2.3099265,2.2253735,1.037995,500,
2.4844353,2.5366883,0.97940105,550,
2.4646382,2.565113,0.9608302,600,
2.246396,2.340036,0.9599836,650,
2.3220806,2.161864,1.0741104,700,
2.7990222,2.718172,1.0297443,750,
10.360366,10.581855,0.979069,800,
1.3791499,1.274444,1.0821582,850,
2.528117,2.8746305,0.87945807,900,
3.2247422,3.4761572,0.9276744,950,
2.1156769,2.220605,0.952748,1000,
3.0973854,3.1105356,0.9957724,1050,
1.8917985,1.7360699,1.0897018,1100,
4.106946,4.050835,1.0138516,1150,
1.7813201,1.9672728,0.905477,1200,
2.0570297,1.9456679,1.0572358,1250,
3.2000544,3.3285885,0.96138483,1300,
1.6025538,1.6394811,0.9774763,1350,
2.2563648,2.3246999,0.9706048,1400,
2.560349,2.6876051,0.9526507,1450,
3.3906121,3.7143586,0.9128392,1500,
3.1668296,3.0805137,1.0280199,1550,
2.503759,2.5493307,0.98212403,1600,
4.0898943,3.9770262,1.02838,1650,
1.7947421,1.9373395,0.9263953,1700,
2.2890987,2.1460052,1.066679,1750,
2.1981604,2.4276967,0.905451,1800,
2.964498,3.3553638,0.88351023,1850,
2.5393176,2.4265845,1.0464575,1900,
2.9265804,2.928349,0.999396,1950,
2.1753573,2.5927012,0.8390313,2000,
2.1316872,2.1659038,0.9842021,2050,
1.9950781,2.028124,0.9837061,2100,
1.80973,1.7635782,1.0261694,2150,
2.351213,2.45357,0.9582825,2200,
2.9216337,2.9979115,0.9745564,2250,
2.537459,2.5668514,0.98854923,2300,
1.9376595,2.138421,0.9061169,2350,
2.72088,2.4527307,1.1093268,2400,
2.7364535,2.6148229,1.0465158,2450,
4.6944733,4.6649623,1.0063261,2500,
2.246406,2.4126654,0.931089,2550,
1.9458667,2.053604,0.9475375,2600,
2.6022367,2.8567896,0.9108955,2650,
3.1295428,3.2625303,0.95923793,2700,
3.9980543,4.1973276,0.9525238,2750,
3.6563632,3.600871,1.0154108,2800,
2.5961328,2.7040973,0.9600737,2850,
1.8159416,1.8821653,0.9648152,2900,
2.7933722,2.921917,0.9560067,2950,
1.7783046,1.6917386,1.0511698,3000,
2.578646,2.6077816,0.98882735,3050,
2.4963846,2.6776958,0.9322884,3100,
2.12201,2.180842,0.9730233,3150,
2.1317544,2.0131338,1.0589234,3200,
2.6049986,2.480321,1.0502667,3250,
1.8876221,2.0695724,0.9120831,3300,
2.8698025,3.1559157,0.9093406,3350,
1.6041623,1.9767717,0.8115061,3400,
2.8297234,2.713592,1.0427961,3450,
1.8219702,1.8078511,1.0078099,3500,
2.3235343,2.5258408,0.91990525,3550,
1.7135832,1.7637691,0.9715462,3600,
1.9306039,2.342279,0.82424164,3650,
1.9425601,2.134606,0.91003215,3700,
1.9648106,1.8584456,1.0572333,3750,
3.8563848,4.02186,0.958856,3800,
1.8009648,1.9832704,0.9080783,3850,
2.346009,2.3500748,0.9982699,3900,
2.4512148,2.378233,1.0306875,3950,
2.423949,2.5887465,0.9363408,4000,
2.3329282,2.3848505,0.9782283,4050,
2.7066143,2.6293068,1.0294023,4100,
2.0646453,2.2319264,0.9250508,4150,
1.1482,1.257185,0.91331035,4200,
1.5150034,1.682432,0.90048414,4250,
2.4141145,2.59665,0.9297035,4300,
2.3122535,2.4395008,0.94783884,4350,
2.9174747,2.9287186,0.9961608,4400,
2.380375,2.5082545,0.9490165,4450,
1.799485,2.0884376,0.8616417,4500,
