bin_index,time_lower,time_upper,time_center,count,marginal_numerator,marginal_denominator,marginal_ratio,marginal_sigma_weighted_numerator,marginal_sigma_weighted_denominator,marginal_sigma_weighted_ratio,transition_numerator,transition_denominator,transition_ratio,transition_sigma_weighted_numerator,transition_sigma_weighted_denominator,transition_sigma_weighted_ratio
0,0.001,0.1009,0.05095,387,15146.825761809803,11527.290063385544,1.313997104133603,1.6421618170093009,1.9646976863714243,0.8358343474633217,11018.296623369282,11527.290063385544,0.955844484069803,0.38191737528026526,1.9646976863714243,0.19438989315538147
1,0.1009,0.2008,0.15085,408,31.238568981377018,44.26942098478403,0.7056466581087124,1.4730361799153382,2.0820459554833746,0.7074945531153791,6.64861177008737,44.26942098478403,0.15018519828553284,0.35134154384119703,2.0820459554833746,0.16874821673767823
2,0.2008,0.3007,0.25075000000000003,409,12.484667795627601,14.542504254873188,0.8584950410352497,1.781995759564866,2.0581672869648573,0.8658167692163526,5.494314878152502,14.542504254873188,0.3778107799097429,0.8017892148509999,2.0581672869648573,0.38956464619440034
3,0.3007,0.4006,0.35065,391,7.265615658404742,7.8700506646014095,0.9231980782350833,1.9163934052951694,2.0801297952231494,0.9212854892435836,4.741860816147021,7.8700506646014095,0.6025197310927327,1.2760622777765456,2.0801297952231494,0.6134531963209161
4,0.4006,0.5005,0.45055,408,5.419964240854675,5.480006489207388,0.9890433965066653,2.1680605003468285,2.1800621626570043,0.9944948027351218,5.234341386488068,5.480006489207388,0.9551706530357488,2.094643806906369,2.1800621626570043,0.960818380859969
5,0.5005,0.6004,0.55045,409,5.648021769455261,5.5528202965082345,1.0171447044370308,3.006459949467644,2.9532330117434626,1.0180232739280284,6.4728012211337935,5.5528202965082345,1.1656781354057661,3.4461864836874767,2.9532330117434626,1.1669199342939067
6,0.6004,0.7003,0.65035,447,4.854348049450636,4.794745545332008,1.012430793966188,3.1846638501221882,3.143656037422656,1.0130446213201831,6.56967094342161,4.794745545332008,1.3701813511492371,4.294573622088555,3.143656037422656,1.3661079829676293
7,0.7003,0.8002,0.7502500000000001,417,5.968552559560426,5.705057145167201,1.0461862865220504,4.51177440592075,4.3109650529279735,1.0465810648106688,8.279890969134032,5.705057145167201,1.4513248060336688,6.262202036348657,4.3109650529279735,1.4526218479941515
8,0.8002,0.9001,0.85015,398,7.180412591323104,6.870780956296847,1.0450649826482739,6.013543502872785,5.755800402090643,1.0447797130422949,10.313122413921597,6.870780956296847,1.501011670217756,8.616128042442076,5.755800402090643,1.4969469796664638
9,0.9001,1.0,0.9500500000000001,422,8.320194175919276,8.041844481462388,1.0346126668766595,7.4723389746964415,7.221752161393595,1.0346988926448428,12.268441559619351,8.041844481462388,1.5255755781704214,11.009851494431366,7.221752161393595,1.524540199266735
