bin_index,time_lower,time_upper,time_center,count,marginal_numerator,marginal_denominator,marginal_ratio,marginal_sigma_weighted_numerator,marginal_sigma_weighted_denominator,marginal_sigma_weighted_ratio,transition_numerator,transition_denominator,transition_ratio,transition_sigma_weighted_numerator,transition_sigma_weighted_denominator,transition_sigma_weighted_ratio
0,0.001,0.1009,0.05095,387,15146.825761339112,11527.290060607249,1.3139971044094685,1.6421617504514652,1.9646975959465844,0.8358343520555559,11018.296623371074,11527.290060607249,0.9558444843003351,0.3819173719215389,1.9646975959465844,0.19438990039260137
1,0.1009,0.2008,0.15085,408,31.238568110178797,44.26942044395758,0.705646647049931,1.4730361544885415,2.082045943725957,0.7074945448982274,6.648611551055357,44.26942044395758,0.15018519517259654,0.35134153770866006,2.082045943725957,0.16874821474517002
2,0.2008,0.3007,0.25075000000000003,409,12.484667384135895,14.542502586337354,0.8584951112389869,1.7819957724978241,2.058167171905179,0.865816823902657,5.4943138508451765,14.542502586337354,0.37781075261619435,0.8017890852278609,2.058167171905179,0.38956460499271517
3,0.3007,0.4006,0.35065,391,7.265614395104723,7.870052111511296,0.9231977479851173,1.9163930839116041,2.0801301470147173,0.9212851789341399,4.74185950831402,7.870052111511296,0.6025194541409765,1.2760619393645285,2.0801301470147173,0.6134529298858197
4,0.4006,0.5005,0.45055,408,5.419964194046364,5.480006428408378,0.9890433989381494,2.168060483486342,2.1800621399705604,0.9944948053502143,5.234341405439081,5.480006428408378,0.9551706670912876,2.0946438139074552,2.1800621399705604,0.960818394069977
5,0.5005,0.6004,0.55045,409,5.64802092146265,5.552819452499493,1.0171447063255148,3.00645947602351,2.953232549678707,1.0180232728947678,6.472800371798034,5.552819452499493,1.1656781596289156,3.446186012966341,2.953232549678707,1.1669199574791578
6,0.6004,0.7003,0.65035,447,4.854348039070631,4.794745539948769,1.0124307929380107,3.1846638441933077,3.1436560351886427,1.0130446201541123,6.569670818437816,4.794745539948769,1.3701813266207654,4.294573538089332,3.1436560351886427,1.3661079572182095
7,0.7003,0.8002,0.7502500000000001,417,5.968552915295487,5.705057383692133,1.0461863051359819,4.511774676515742,4.310965233259666,1.0465810838002112,8.279891007214573,5.705057383692133,1.4513247520295478,6.26220206259669,4.310965233259666,1.4526217933182937
8,0.8002,0.9001,0.85015,398,7.1804195799080315,6.870788142510212,1.0450649067508648,6.013549378507638,5.755806440228824,1.0447796378331256,10.313125589902159,6.870788142510212,1.5010105625414027,8.616130633609734,5.755806440228824,1.4969458594750344
9,0.9001,1.0,0.9500500000000001,422,8.32019393397232,8.041844062306128,1.0346126907166417,7.472338764754951,7.221751796175517,1.034698915900869,12.268441584406267,8.041844062306128,1.5255756607685746,11.009851521392731,7.221751796175517,1.5245402800990622
