scope,bin_index,time_lower,time_upper,time_center,count,heat_oracle_numerator,heat_oracle_denominator,heat_oracle_ratio,heat_oracle_sigma_weighted_numerator,heat_oracle_sigma_weighted_denominator,heat_oracle_sigma_weighted_ratio
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,141.2128959729614,1099.4398654220665,0.12844076371331728,2.3864274147908304,3.3944209991664587,0.7030440267563766
time_bin,0,0.001,0.1009,0.05095,387,1456.1393244281653,11527.290060607249,0.12632104482241108,0.020587175377463976,1.9646975959465844,0.01047854657895058
time_bin,1,0.1009,0.2008,0.15085,408,1.5157659502519796,44.26942044395758,0.03423957067223078,0.08630499329240159,2.082045943725957,0.04145201172815287
time_bin,2,0.2008,0.3007,0.25075000000000003,409,1.6715342617876252,14.542502586337354,0.11494130743415609,0.24948763144682048,2.058167171905179,0.12121835079299915
time_bin,3,0.3007,0.4006,0.35065,391,2.349914024457868,7.870052111511296,0.2985893852004898,0.6314026528820843,2.0801301470147173,0.30353997356984475
time_bin,4,0.4006,0.5005,0.45055,408,2.59698998564923,5.480006428408378,0.4739027252682397,1.0409363545315273,2.1800621399705604,0.4774801280530393
time_bin,5,0.5005,0.6004,0.55045,409,3.690967011533572,5.552819452499493,0.6647014253678176,1.9680857356575523,2.953232549678707,0.6664174581197452
time_bin,6,0.6004,0.7003,0.65035,447,3.965052473553268,4.794745539948769,0.8269578504735531,2.6068813303922216,3.1436560351886427,0.8292514489242698
time_bin,7,0.7003,0.8002,0.7502500000000001,417,5.472213281936426,5.705057383692133,0.9591863682189852,4.136762131865897,4.310965233259666,0.9595906945280662
time_bin,8,0.8002,0.9001,0.85015,398,6.706838359321346,6.870788142510212,0.9761381388059582,5.621435575419797,5.755806440228824,0.9766547266710671
time_bin,9,0.9001,1.0,0.9500500000000001,422,7.982005839088501,8.041844062306128,0.9925591403315449,7.169246249021175,7.221751796175517,0.9927295262197403
